Country_Name,Country_Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
India,IND,1023173271,1245820241,1367599034,1629326579,2324650377,2064428261,3728750351,6085439482,8316114116,11815412878,12009786832,8108842157,8241563483,8215728863,8535944836,9493104340,10480097373,11511739959,9185841796,8048453590,5637446977,7615987443,9538784915,14674627527,24220928978,17921808480,20170157961,24688314053,27340726124,32666740985,37902245709,45870471188,67665480917,98937910594,127000000000,132000000000,171000000000,267000000000,247000000000,265000000000,275000000000,271000000000
"Iran, Islamic Rep.",IRN,216875910,642577371,1061179899,1498631182,8920357691,9267872513,9184960199,12729168788,12840640727,17207746312,12783022231,3331697684,7685457363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,139190000,179050174,159691399,127444767,190393159,125575305,32394609,49646435,58823471,69599359,105000000,85173860,108969036,63200000,96929406,161300000,98415885,174304473,147200000,107500000,168155251,106057217,324147500,417049948,735930635,681258963,879966323,682126515,709452694,554524511,1053690048,1900541275,1645099133,1194860262,1846479131,2169806026,2318429014,1878513939,1772712407,2075840642,2501093861,2281910489
Jordan,JOR,257533890,257685635,292676100,360195642,461452946,570673429,578862196,776098842,1068844103,1583911609,1744684324,1510814139,1377509785,1239989970,841785318,769724366,853055428,909726810,414369578,770634378,1138743542,1104763223,1030115500,1946380526,1996868733,1972921537,1759324400,2200295185,1750381293,2629076639,3331283630,3062239353,3975920203,5194288598,5266618732,5250317798,6721971587,7541997599,8561617330,11689283994,13056727841,11467251146
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,711198451,1216176078,1135516189,1294064966,1697121658,1461226192,1479230223,1594117422,1997212411,2555290140,4236202350,8473103081,6084195424,17750816990,15776758294,17871462602,20719793319,25222740488,25179111680
Kenya,KEN,219830000,170946183,201994161,233045931,193282886,173405889,275522168,525784846,368830238,668545273,538712137,262828083,248102887,406428002,414388468,416724757,444494542,294401538,296454000,316624544,236115197,145138363,79549188,436745076,588142038,353419718,746479807,787949455,783051437,791589587,897735820,1064856619,1067969120,1481908531,1519319733,1798831468,2415755368,3355002165,2878516487,3848956935,4320154707,4264380310
Kosovo,KSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951725448,892061190,830206163,846409246,741536735
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,48245791,26186045,80957663,94598234,170198385,163750873,229685408,239045431,263530044,288849332,364599320,528152375,569727672,764349670,1107224528,1152869549,1493972069,1603595200,1702990428
Lao PDR,LAO,,,,,,,,,,,,,,,,,,,640884,8298780,8375549,34708285,46019620,69653379,67495888,92113406,169497981,112179461,112214388,101187652,138967964,130931132,191589004,208589479,223246793,234293568,328431956,532559449,628735537,608599694,703350047,741211619
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,526398175,640693741,505698681,654065767,760203617,801227646,871996318,850907141,1148744863,1241415722,1432442218,1911976244,2232131850,4353371312,5553370450,5027632164,6631801379,7256164699,5997271919
Lebanon,LBN,404917180,598829635,922647605,1507046664,2997376774,2494061148,2544358604,3089266492,3918138361,6253129749,7024574509,5182114878,6821644209,5420707068,3514703726,4089410468,4092904994,4832307012,4761143885,4636190380,4210389268,4536363853,4569657750,5862881326,7418500763,4533332215,5931870501,5976350337,6556253135,7775632450,5943660644,5013809935,7243825018,12519443017,11734571177,11887084749,13376441582,12909941492,20244477627,29102898201,31514109274,33740587369
Lesotho,LSO,,,,,,,,,,,50268473,43395459,47535434,66677046,48576066,43520461,60259771,67531267,56281282,48997745,72373882,115039949,157486250,252685729,372621144,456739383,460505583,571737993,575080953,499556708,417891105,386488997,406370202,460333704,501504291,519112399,658398850,,,,,
Liberia,LBR,,,,,18718549,19188689,17169642,27344984,18021319,54978992,5450000,8336716,6473031,20396000,3476406,1517968,2660464,509560,380371,7876425,,1307913,977250,2362460,5069083,28088833,376467,419971,616575,431082,267707,480276,3298471,7376739,18742650,25395461,71989513,119359165,160860069,372456984,,
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,107287425,422943421,596691632,757049265,772245890,1009945049,1409131894,1195011395,1311549167,1617720694,2349320538,3371975675,3512582286,3720240765,5654412424,7556624556,6280463644,6419824929,6335524523,7915368408
"Macedonia, FYR",MKD,,,,,,,,,,,,,,,,,,,,,,,,120503200,166364466,257486187,239545652,256995720,306112546,429918010,429378054,745166614,722028564,897665691,904966005,1228513781,1750597270,2082249978,1920336861,2050909722,1970032024,2331410163
Madagascar,MDG,37122000,46344981,52241541,67901789,49408140,35577007,42161004,68920764,59221245,5039520,9100000,26521655,19959215,29225634,58899721,48443937,114524464,185199306,223721113,245265708,92084946,88857217,84427500,80642850,71640029,108960784,240880920,281600527,171378013,227186729,285182985,398349961,363272346,414272747,503524276,481286831,583182459,846677006,982306553,1135488295,1171581600,1279082243
Malawi,MWI,29200000,31919979,36237115,66643022,81791079,61458210,26217487,88549577,76971881,76080401,75955674,54157211,28526421,20298635,60557708,49146191,29621582,58045444,150839685,105459895,142103082,157742195,44227430,61890329,47716468,110007127,220537350,142179547,255440936,246425642,242980762,202505203,161474511,122037174,128050852,158913184,133771787,216611435,242775850,149356593,307358122,197429655
Malaysia,MYS,667456900,827083732,1014856418,1461559212,1856664259,1688955990,2627814969,3070865766,3670452656,5005509030,5754998625,5024214147,4832355575,4672614680,4441615462,5677019647,6942089619,8572963559,7490587819,8733333838,10658832532,11716563664,18023987500,28182868709,26338866593,23774421199,27009404188,20788219819,25559373372,30588150528,28329831559,29522298324,33360663680,43821705841,65881088615,69857981541,82132321372,101000000000,91148849714,95431678355,105000000000,132000000000
